sample,C1,C2,C3,285_amp
ResD_60s_009,776.58531638658,364.6332545903519,0.9805798395490228,737.0943149636062
ResD_60s_009,824.0836177342281,366.9289555530142,8.40187192041597,746.3342025488148
ResD_60s_009,772.400685133956,400.71791429507897,45.730475850547236,660.041492875805
ResD_60s_009,937.3418302094371,286.7215889712504,79.76652266483697,700.4101545104193
ResD_60s_009,676.166425461755,311.3070236593352,28.232355009372156,652.5914414644411
ResD_60s_009,1101.5820060578108,255.16244106515984,114.98253466024622,721.0468408521101
ResD_60s_009,707.5605596984502,404.50878813214075,38.32167333461811,752.4395232011585
ResD_60s_009,874.4672776450635,465.62053901411105,65.5814402228394,752.1932140866098
ResD_60s_009,777.4922091141611,786.9858437703492,96.3830823486056,809.9189586195664
ResD_4min,1808.5089891761718,371.91447943563105,101.22770588427699,1267.6554517250765
ResD_4min,1910.699169604957,302.8678953742592,92.54710442441194,1209.2613674529139
,,,,
,,,,
,,,,
,,,,
,,,,
ResD_4min,1765.0203504859796,357.97251479730005,61.1456280052991,1241.4164593078935
ResD_4min,1952.151816531078,326.5484650460948,93.66781844599714,1304.2403827074775
ResD_4min,1909.317989656767,325.6724478983841,23.32216453293512,1285.9479127680465
ResD-1m-013,49438.53442385126,13321.156067280792,5468.948662989969,28181.258012665174
ResD-1m-013,47846.1601544633,14456.775469906535,5928.632180296489,28350.1085129712
ResD-1m-013,47046.15479045326,13257.433216062875,5007.618194885488,28889.440560410076
ResD-1m-013,52005.53270295893,11339.989149206087,3374.8123710042323,31397.00649803519
ResD-1m-013,50697.926150422565,13342.793932835662,4632.464184695095,29122.222349195858
ResD-1m-013,50324.73714444708,12494.809167595822,5848.013881759595,28694.796349531694
ResD-1m-013,49439.34182138898,12719.203346611695,6065.109285524617,29304.132735377512
ResD-1m-013,48267.72783078637,12314.6746197067,4806.683773617148,28998.076019015833
ResD-1m-013,48176.84786601051,12871.14914066967,6051.9867723929365,29981.757060940858
ResD-1m-013,46669.404609456236,12495.0759938236,5225.626766247604,28902.376584763886
ResD-21m-014,64405.142884527144,8671.244488001052,2553.9560433163188,40359.88376648803
ResD-21m-014,56782.1741072061,9920.053711309773,2845.5483715994487,34447.90291132171
ResD-21m-014,65078.73032585154,11215.434792544165,4851.955974716216,39489.24401927847
ResD-21m-014,61589.8669574233,10817.379484939771,3628.3931202363283,39497.434136324795
ResD-21m-014,56492.74292601758,11230.842004272823,3475.6305929417586,36998.59482617854
ResD-21m-014,62047.56443617398,9136.14936043361,2713.869671655544,38481.36045941054
ResD-21m-014,61836.168015472205,10577.65207751471,3997.3368403667387,37896.84694633886
ResD-21m-014,61148.92626490897,9702.114822873753,3119.886728797372,36733.73193203882
ResD-21m-014,63483.93719779466,12376.117773882366,5966.139018598326,37838.07849636616
ResD-21m-014,60039.60244305162,10537.668791277267,3010.843471318303,37360.312874188065
ResD_10m_023,53725.3270034288,13088.234468383585,2087.005699535904,30816.216834648163
ResD_10m_023,52033.18303598215,14737.320214064375,3264.8741592478104,31808.820672409143
ResD_10m_023,52905.26789891725,14555.469207921946,3997.5306913020427,31919.4274473971
ResD_10m_023,54153.69895983568,12541.220720807545,1167.0831135957017,30542.982424129194
ResD_10m_023,55626.27570504519,14249.963562695812,3206.850058112831,32484.954126218363
ResD_10m_023,51784.37401553993,13234.209909007699,2390.9751978301583,30160.674585264598
ResD_10m_023,52963.28020371055,14405.3633626684,4164.9003291732715,31699.85806529314
ResD_10m_023,54795.93163321139,14091.600196775024,3982.349938036478,30921.96007494448
ResD_10m_023,51357.63567565288,14086.819528746908,2138.390348072061,31405.23669583832
ResD_10m_023,53807.82827341113,13976.216669653319,2621.34853251661,31136.961273829656
ResD_1m_016,70835.7568519058,11048.650738476606,1334.532293562063,46994.0566264388
ResD_1m_016,80987.14895299342,10631.269335870109,3435.286564046347,54760.25231071863
ResD_1m_016,68737.08399363076,9331.171002879835,2401.2991493571612,44005.902795223024
ResD_1m_016,68259.26752707102,8667.464551304072,2029.5247102342096,41923.13749493062
ResD_1m_016,65789.72561072094,9292.601200583395,1932.910756563544,41834.813587511606
ResD_1m_016,69635.74856877486,9725.098297996838,2926.1781342992954,42981.19525278537
ResD_1m_016,66816.94202081978,10552.945321651297,3676.216595194237,42742.82973988887
ResD_1m_016,67078.80003464784,10001.041213514305,2227.045178104792,43157.73461490927
ResD_1m_016,68280.98936045857,10608.864639993775,2425.4262080414255,44143.722430242255
ResD_1m_016,65978.9514318998,10712.234606136128,2237.433722407367,43520.10418224974
ResD_40m_017,49860.663019318796,8689.745130074922,2843.48007423274,29365.162883106692
ResD_40m_017,46839.97081283975,8114.276173865065,2869.8048825659407,28445.821540442717
ResD_40m_017,47894.206092358174,7017.275390874822,2175.8984057873577,28003.051386176332
ResD_40m_017,44267.896253724626,7668.305321950619,1231.8280692702465,27183.876989109383
ResD_40m_017,49696.226439521764,8232.206843650225,3742.704291376242,28762.18798677031
ResD_40m_017,52976.47337459966,7096.387971416984,3038.261407406484,28945.957387305665
ResD_40m_017,51770.705205900216,7642.123630635656,3908.868958346634,29769.84131367106
ResD_40m_017,48374.44807664904,6979.7474640531655,1146.9190801527418,28012.66403042036
ResD_40m_017,49030.51587640261,7987.476376980496,3166.9846007886804,28868.694516201824
ResD_40m_017,50073.04181697813,7977.335578113199,2954.1285861411916,28816.432972717143
ResD_5m_018,81821.62093006706,9354.473380407402,1911.0485980355918,56393.546588284284
ResD_5m_018,82338.36791532444,9272.675440041845,433.52438794386217,55214.37761958577
ResD_5m_018,81174.96841297811,10151.653219603319,2074.122986028826,55650.9341639004
ResD_5m_018,80660.90789671244,9805.084235703365,1743.9254323958764,53556.89441149328
ResD_5m_018,79120.68249454895,10611.66650251355,1892.7197888984892,51131.97268528137
ResD_5m_018,80308.638723936,9877.067741914658,1125.9336531455056,54099.19400208658
ResD_5m_018,79918.72410550993,11241.870578992952,2817.4804500014084,56561.3838466782
ResD_5m_018,82057.49535394879,10175.136304968468,1157.8406315937427,56631.81551251475
ResD_5m_018,81873.83948704552,10747.127527799272,2469.340856292579,54367.64175177073
ResD_5m_018,82231.95669143646,7827.366990065254,1338.1365783216027,54610.31495453445
ResD_15m_024_af,45137.08237324776,10555.396278533191,2202.8179066935218,26569.03003155843
ResD_15m_024_af,47296.623153392226,13216.947340466411,4121.430109749192,27231.817689689036
ResD_15m_024_af,47698.67289827756,11787.371693827708,3737.9901222101,26728.47297171403
ResD_15m_024_af,44802.56663141891,11881.550768144678,2116.304560040305,27670.92099252464
ResD_15m_024_af,48852.11133126566,11771.144242445076,2538.653784522893,28225.01514994353
ResD_15m_024_af,41060.3644660501,11975.39031139172,1219.9670408330476,25549.40068206111
ResD_15m_024_af,40461.40213226357,11253.188804016823,1248.1190486690607,25788.644889526244
ResD_15m_024_af,44932.52400250558,11977.323578160614,2415.5167585582226,26308.685184512506
ResD_15m_024_af,43893.85342101759,12579.994904338144,3330.8852600555383,28721.725920064782
ResD_15m_024_af,44252.39165939399,12059.350702697813,2231.8180320501924,27062.975008859532
ResD_20m_028,70701.83264756836,16209.362741104183,4424.55219124005,43170.105957156324
ResD_20m_028,69786.14387376237,15008.04654402943,4472.590450388392,42926.07785348385
ResD_20m_028,65741.21791580456,15228.250615173522,3771.5717620678824,42678.5411978996
ResD_20m_028,66447.08218134232,14723.398989557878,2876.2833500506345,42319.17926254972
ResD_20m_028,70303.56016546335,16102.844881404899,4444.101027012426,42464.42457291852
ResD_20m_028,66687.2318411671,16527.230801033355,3917.6092230808204,42645.914924990735
ResD_20m_028,66595.92830288163,13967.781946844227,2328.0784712809145,41726.86152856845
ResD_20m_028,65640.93413763406,16010.079858019832,3440.2020172574767,41602.86319373893
ResD_20m_028,71206.22143214072,13876.287099645613,2919.097600029286,41099.1013452069
ResD_20m_028,66663.72057551051,16201.632167034408,3883.3273233174205,41150.6216048043
